ON_STREET,AT_STREET,FATAL,ACC_DATE,ACC_TIME,ACC_TYPE
DOUGLAS,CORMORANT,,2010/07/06,0735,Left Turn Opposing
RICHMOND,CORONATION,,2012/10/08,1507,Right Turn - Traffic On Right
CORONATION,RICHMOND,,2009/09/15,2310,Overtaking
CRAIGFLOWER,PINE,,2009/06/24,1524,Right Angle
1500 BLOCK,DALLAS,,2009/07/21,1712,Left Turn Opposing
1300 BLOCK,DALLAS,,2009/03/14,1325,Left Turn Opposing
1300 BLOCK,DALLAS,,2011/09/24,1212,Rear End
DAVID,GORGE,,2008/04/18,1621,Left Turn Opposing
DISCOVERY,STORE,,2008/06/24,1831,Overtaking
DONCASTER,NORTH DAIRY,,2012/04/01,1200,Overtaking
2600 BLOCK,DOUGLAS,,2008/08/02,0703,Rear End
2300 BLOCK,DOUGLAS,,2010/11/15,1630,Right Angle
1200 BLOCK,DOUGLAS,,2010/06/14,1827,Rear End
2000 BLOCK,DOUGLAS,,2009/11/24,1531,Left Turn - Traffic On Right
2000 BLOCK,DOUGLAS,,2011/12/30,,Rear End
100 BLOCK,DOUGLAS,,2009/05/21,1705,Rear End
2800 BLOCK,DOUGLAS,,2012/01/25,1739,Right Angle
DOUGLAS,FINLAYSON,,2012/09/25,0751,Overtaking
DOUGLAS,FINLAYSON,,2012/05/29,0900,Overtaking
DOUGLAS,FISGARD,,2009/03/31,0730,Rear End
DOUGLAS,FISGARD,,2008/08/13,2049,Right Turn - Traffic On Left
FORT,DOUGLAS,,2010/05/09,1047,Left Turn Opposing
DOUGLAS,HERALD,,2008/10/10,1528,Right Turn Across Path
DOUGLAS,HUMBOLDT,,2010/11/28,1806,Overtaking
DOUGLAS,KINGS,,2011/03/30,2140,Right Turn - Traffic On Left
DOUGLAS,PEMBROKE,,2009/06/04,1624,Right Turn - Traffic On Left
DOUGLAS,SIMCOE,,2008/01/15,1944,Left Turn - Traffic On Left
SPEED,DOUGLAS,,2011/03/04,0117,Left Turn - Traffic On Left
DOUGLAS,SUMMIT,,2009/12/10,1704,Left Turn - Traffic On Left
DOUGLAS,TOLMIE,,2008/09/15,1656,Left Turn - Traffic On Right
DUNEDIN,GORGE,,2009/01/24,1918,Overtaking
HAULTAIN,EMPIRE,,2012/11/02,0217,Right Angle
HAULTAIN,EMPIRE,,2010/05/14,1837,Right Turn - Traffic On Left
ESQUIMALT,MAITLAND,,2011/06/22,1511,Overtaking
ESQUIMALT,SPRINGFIELD,,2010/11/12,1212,Overtaking
TYEE,ESQU,,2010/11/29,1728,Right Turn - Traffic On Left
1200 BLOCK,FAIRFIELD,,2011/04/06,1151,Overtaking
1700 BLOCK,FAIRFIELD,,2009/09/13,1710,Rear End
1000 BLOCK,FAIRFIELD,,2010/07/06,1714,Overtaking
QUADRA,FAIRFIELD,,2010/12/27,0641,Left Turn Opposing
FAIRFIELD,ST CHARLES,,2009/08/05,1711,Left Turn Opposing
FAIRFIELD,VANCOUVER,,2009/03/03,0641,Right Angle
FORT,FERN,,2012/07/19,1820,Right Angle
FERNWOOD,JOHNSON,,2008/01/23,1742,Left Turn Opposing
FERNWOOD,PANDORA,,2009/05/01,2330,Right Angle
1400 BLOCK,FINLAYSON,,2011/05/09,1429,Rear End
